time,datetime,Group4-2_S6_MassFlowRate,Group4-2_S6_FlowVelocity,Group4-2_S6_Volume,Group4-2_S6_VolumetricFlowRate,Group4-2_S6_Mass,Group4-2_S6_Energy,Group4-2_S6_Temperature,Group4-2_S6_Pressure,duration,recording_timestamp
1753178343559,Jul 22 2025 09:59:03.559,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9579,2025-07-22T09:50:58.766898
1753178343569,Jul 22 2025 09:59:03.569,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9577,2025-07-22T09:50:58.767460
1753178343579,Jul 22 2025 09:59:03.579,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9841,2025-07-22T09:50:58.768034
1753178343589,Jul 22 2025 09:59:03.589,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9971,2025-07-22T09:50:58.768606
1753178343599,Jul 22 2025 09:59:03.600,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9526,2025-07-22T09:50:58.806702
1753178343609,Jul 22 2025 09:59:03.609,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9722,2025-07-22T09:50:58.806702
1753178343619,Jul 22 2025 09:59:03.620,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9767,2025-07-22T09:50:58.806702
1753178343630,Jul 22 2025 09:59:03.630,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9512,2025-07-22T09:50:58.807233
1753178343640,Jul 22 2025 09:59:03.640,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9651,2025-07-22T09:50:58.847209
1753178343650,Jul 22 2025 09:59:03.650,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9509,2025-07-22T09:50:58.847736
1753178343659,Jul 22 2025 09:59:03.659,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9644,2025-07-22T09:50:58.847736
1753178343669,Jul 22 2025 09:59:03.669,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9478,2025-07-22T09:50:58.847736
1753178343679,Jul 22 2025 09:59:03.679,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9598,2025-07-22T09:50:58.886367
1753178343689,Jul 22 2025 09:59:03.689,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9561,2025-07-22T09:50:58.886367
1753178343699,Jul 22 2025 09:59:03.699,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,10524,2025-07-22T09:50:58.886898
1753178343709,Jul 22 2025 09:59:03.710,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9502,2025-07-22T09:50:58.887427
1753178343719,Jul 22 2025 09:59:03.719,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9525,2025-07-22T09:50:58.926316
1753178343729,Jul 22 2025 09:59:03.729,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9556,2025-07-22T09:50:58.926823
1753178343739,Jul 22 2025 09:59:03.739,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9637,2025-07-22T09:50:58.927427
1753178343749,Jul 22 2025 09:59:03.749,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,10211,2025-07-22T09:50:58.927427
1753178343760,Jul 22 2025 09:59:03.760,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9508,2025-07-22T09:50:58.966941
1753178343769,Jul 22 2025 09:59:03.769,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9556,2025-07-22T09:50:58.967481
1753178343779,Jul 22 2025 09:59:03.779,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9942,2025-07-22T09:50:58.967758
1753178343789,Jul 22 2025 09:59:03.790,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9515,2025-07-22T09:50:59.006162
1753178343799,Jul 22 2025 09:59:03.799,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9569,2025-07-22T09:50:59.006808
1753178343809,Jul 22 2025 09:59:03.809,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9620,2025-07-22T09:50:59.006906
1753178343819,Jul 22 2025 09:59:03.819,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9731,2025-07-22T09:50:59.007419
1753178343829,Jul 22 2025 09:59:03.829,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9620,2025-07-22T09:50:59.007515
1753178343839,Jul 22 2025 09:59:03.839,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9577,2025-07-22T09:50:59.046041
1753178343849,Jul 22 2025 09:59:03.849,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10541,2025-07-22T09:50:59.046041
1753178343860,Jul 22 2025 09:59:03.860,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9541,2025-07-22T09:50:59.046547
1753178343869,Jul 22 2025 09:59:03.869,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9461,2025-07-22T09:50:59.076294
1753178343879,Jul 22 2025 09:59:03.879,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9469,2025-07-22T09:50:59.076932
1753178343889,Jul 22 2025 09:59:03.889,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9570,2025-07-22T09:50:59.076932
1753178343899,Jul 22 2025 09:59:03.899,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9557,2025-07-22T09:50:59.077440
1753178343909,Jul 22 2025 09:59:03.909,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10526,2025-07-22T09:50:59.115968
1753178343920,Jul 22 2025 09:59:03.920,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9479,2025-07-22T09:50:59.116532
1753178343929,Jul 22 2025 09:59:03.929,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9563,2025-07-22T09:50:59.116532
1753178343939,Jul 22 2025 09:59:03.939,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9602,2025-07-22T09:50:59.117040
1753178343949,Jul 22 2025 09:59:03.949,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9648,2025-07-22T09:50:59.157543
1753178343959,Jul 22 2025 09:59:03.959,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9718,2025-07-22T09:50:59.157543
1753178343969,Jul 22 2025 09:59:03.969,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9762,2025-07-22T09:50:59.158159
1753178343980,Jul 22 2025 09:59:03.980,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9948,2025-07-22T09:50:59.158664
1753178343990,Jul 22 2025 09:59:03.990,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9786,2025-07-22T09:50:59.196873
1753178344000,Jul 22 2025 09:59:04.000,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,8920,2025-07-22T09:50:59.196935
1753178344010,Jul 22 2025 09:59:04.010,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9981,2025-07-22T09:50:59.197440
1753178344020,Jul 22 2025 09:59:04.020,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,8799,2025-07-22T09:50:59.197966
1753178344029,Jul 22 2025 09:59:04.030,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9773,2025-07-22T09:50:59.236493
1753178344040,Jul 22 2025 09:59:04.040,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9872,2025-07-22T09:50:59.237003
1753178344050,Jul 22 2025 09:59:04.050,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,8833,2025-07-22T09:50:59.237003
1753178344059,Jul 22 2025 09:59:04.060,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9596,2025-07-22T09:50:59.237003
1753178344069,Jul 22 2025 09:59:04.069,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9565,2025-07-22T09:50:59.276186
1753178344079,Jul 22 2025 09:59:04.079,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9562,2025-07-22T09:50:59.276186
1753178344089,Jul 22 2025 09:59:04.089,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9633,2025-07-22T09:50:59.276692
1753178344099,Jul 22 2025 09:59:04.099,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9606,2025-07-22T09:50:59.276692
1753178344109,Jul 22 2025 09:59:04.109,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9820,2025-07-22T09:50:59.316323
1753178344119,Jul 22 2025 09:59:04.119,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9546,2025-07-22T09:50:59.316323
1753178344129,Jul 22 2025 09:59:04.129,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9551,2025-07-22T09:50:59.316323
1753178344139,Jul 22 2025 09:59:04.139,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9606,2025-07-22T09:50:59.316844
1753178344149,Jul 22 2025 09:59:04.149,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9790,2025-07-22T09:50:59.358827
1753178344159,Jul 22 2025 09:59:04.159,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9585,2025-07-22T09:50:59.358827
1753178344169,Jul 22 2025 09:59:04.169,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9709,2025-07-22T09:50:59.358827
1753178344179,Jul 22 2025 09:59:04.179,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9619,2025-07-22T09:50:59.359347
1753178344189,Jul 22 2025 09:59:04.189,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9493,2025-07-22T09:50:59.396226
1753178344199,Jul 22 2025 09:59:04.199,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9553,2025-07-22T09:50:59.396748
1753178344209,Jul 22 2025 09:59:04.209,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9815,2025-07-22T09:50:59.397529
1753178344219,Jul 22 2025 09:59:04.219,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9602,2025-07-22T09:50:59.398262
1753178344229,Jul 22 2025 09:59:04.229,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9700,2025-07-22T09:50:59.435901
1753178344239,Jul 22 2025 09:59:04.239,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9494,2025-07-22T09:50:59.436427
1753178344249,Jul 22 2025 09:59:04.249,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9568,2025-07-22T09:50:59.436978
1753178344259,Jul 22 2025 09:59:04.259,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9564,2025-07-22T09:50:59.436978
1753178344269,Jul 22 2025 09:59:04.269,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9614,2025-07-22T09:50:59.476672
1753178344279,Jul 22 2025 09:59:04.279,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9822,2025-07-22T09:50:59.477199
1753178344289,Jul 22 2025 09:59:04.289,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10607,2025-07-22T09:50:59.477199
1753178344300,Jul 22 2025 09:59:04.300,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9506,2025-07-22T09:50:59.477728
1753178344310,Jul 22 2025 09:59:04.310,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9476,2025-07-22T09:50:59.516417
1753178344319,Jul 22 2025 09:59:04.319,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9508,2025-07-22T09:50:59.517025
1753178344329,Jul 22 2025 09:59:04.329,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9528,2025-07-22T09:50:59.517025
1753178344339,Jul 22 2025 09:59:04.339,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.200000762939,0.0,9742,2025-07-22T09:50:59.517025
1753178344349,Jul 22 2025 09:59:04.349,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9532,2025-07-22T09:50:59.556343
1753178344359,Jul 22 2025 09:59:04.359,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9623,2025-07-22T09:50:59.556880
1753178344369,Jul 22 2025 09:59:04.369,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10615,2025-07-22T09:50:59.556880
1753178344380,Jul 22 2025 09:59:04.380,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,8786,2025-07-22T09:50:59.557403
1753178344389,Jul 22 2025 09:59:04.389,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9513,2025-07-22T09:50:59.597529
1753178344399,Jul 22 2025 09:59:04.399,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9533,2025-07-22T09:50:59.597529
1753178344409,Jul 22 2025 09:59:04.409,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10650,2025-07-22T09:50:59.597529
1753178344420,Jul 22 2025 09:59:04.420,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9501,2025-07-22T09:50:59.598110
1753178344430,Jul 22 2025 09:59:04.430,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9021,2025-07-22T09:50:59.636634
1753178344439,Jul 22 2025 09:59:04.439,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9611,2025-07-22T09:50:59.637141
1753178344449,Jul 22 2025 09:59:04.449,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9561,2025-07-22T09:50:59.637777
1753178344459,Jul 22 2025 09:59:04.459,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9794,2025-07-22T09:50:59.637777
1753178344469,Jul 22 2025 09:59:04.469,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9630,2025-07-22T09:50:59.676608
1753178344479,Jul 22 2025 09:59:04.479,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9771,2025-07-22T09:50:59.676608
1753178344489,Jul 22 2025 09:59:04.489,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10510,2025-07-22T09:50:59.676608
1753178344501,Jul 22 2025 09:59:04.501,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,8524,2025-07-22T09:50:59.677139
1753178344510,Jul 22 2025 09:59:04.510,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,9508,2025-07-22T09:50:59.717494
1753178344519,Jul 22 2025 09:59:04.520,0.0,0.0,2796.7907714844,0.0,3495.9060058594,118.51181030273,34.099998474121,0.0,10562,2025-07-22T09:50:59.717999
