time,datetime,Group4-2_S6_MassFlowRate,Group4-2_S6_FlowVelocity,Group4-2_S6_Volume,Group4-2_S6_VolumetricFlowRate,Group4-2_S6_Mass,Group4-2_S6_Energy,Group4-2_S6_Temperature,Group4-2_S6_Pressure,duration,recording_timestamp
1753116362040,Jul 21 2025 16:46:02.040,8.0699996948242,6.4000000953674,2795.30078125,6.2399997711182,3493.9807128906,118.44584655762,28.5,5.539999961853,9582,2025-07-21T16:38:11.272239
1753116362050,Jul 21 2025 16:46:02.050,7.9299998283386,6.3000001907349,2795.30078125,6.1399998664856,3493.9807128906,118.44584655762,28.5,5.539999961853,9728,2025-07-21T16:38:11.272752
1753116362060,Jul 21 2025 16:46:02.060,7.789999961853,6.1999998092651,2795.30078125,6.0300002098083,3493.9807128906,118.44584655762,28.5,5.539999961853,10521,2025-07-21T16:38:11.273279
1753116362070,Jul 21 2025 16:46:02.070,7.6500000953674,6.0,2795.3010253906,5.9200000762939,3493.9807128906,118.44584655762,28.5,5.539999961853,9482,2025-07-21T16:38:11.273279
1753116362080,Jul 21 2025 16:46:02.080,7.5300002098083,6.0,2795.3010253906,5.8299999237061,3493.9807128906,118.44584655762,28.5,5.539999961853,9574,2025-07-21T16:38:11.310997
1753116362090,Jul 21 2025 16:46:02.090,7.4400000572205,5.9000000953674,2795.3010253906,5.7600002288818,3493.9807128906,118.44584655762,28.5,5.5100002288818,9517,2025-07-21T16:38:11.311540
1753116362100,Jul 21 2025 16:46:02.100,7.3400001525879,5.8000001907349,2795.3010253906,5.6799998283386,3493.9807128906,118.44584655762,28.5,5.4800000190735,9736,2025-07-21T16:38:11.311540
1753116362110,Jul 21 2025 16:46:02.110,7.2699999809265,5.8000001907349,2795.3010253906,5.6300001144409,3493.9807128906,118.44584655762,28.39999961853,5.4899997711182,9643,2025-07-21T16:38:11.311540
1753116362120,Jul 21 2025 16:46:02.120,7.2699999809265,5.8000001907349,2795.3010253906,5.6300001144409,3493.9807128906,118.44584655762,28.39999961853,5.4800000190735,9683,2025-07-21T16:38:11.350957
1753116362130,Jul 21 2025 16:46:02.130,7.3000001907349,5.8000001907349,2795.3010253906,5.6500000953674,3493.9807128906,118.44585418701,28.39999961853,5.4000000953674,9566,2025-07-21T16:38:11.351524
1753116362140,Jul 21 2025 16:46:02.140,7.3400001525879,5.8000001907349,2795.3010253906,5.6799998283386,3493.9807128906,118.44585418701,28.39999961853,5.3600001335144,9530,2025-07-21T16:38:11.351524
1753116362150,Jul 21 2025 16:46:02.150,7.5,5.9000000953674,2795.3010253906,5.8099999427795,3493.9807128906,118.44585418701,28.39999961853,5.4099998474121,9569,2025-07-21T16:38:11.352096
1753116362160,Jul 21 2025 16:46:02.160,7.8000001907349,6.1999998092651,2795.3010253906,6.039999961853,3493.9807128906,118.44585418701,28.299999237061,5.4499998092651,10555,2025-07-21T16:38:11.391919
1753116362170,Jul 21 2025 16:46:02.170,8.0500001907349,6.4000000953674,2795.3010253906,6.2300000190735,3493.9807128906,118.44585418701,28.200000762939,5.4400000572205,9662,2025-07-21T16:38:11.392424
1753116362180,Jul 21 2025 16:46:02.180,8.1300001144409,6.4000000953674,2795.3010253906,6.289999961853,3493.9807128906,118.44585418701,28.200000762939,5.4099998474121,9578,2025-07-21T16:38:11.392748
