run_id,model_name,dataset,time_stamp,model_variant,json_path,predictions_file_path
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_183731,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_183858,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184019,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184139,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184301,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184419,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184537,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184657,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184819,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_184943,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185102,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185222,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185344,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185509,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185635,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185754,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_185915,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190038,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190204,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190333,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190454,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190616,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190741,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_190910,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_191043,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_191206,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_191329,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_191456,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
20250824_183712,Light_XGBoost_Edge,mqtt_data_filtered.csv,20250824_191628,sklearn,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Error_Metrics/ErrorMetrics_20250824_183712_Light_XGBoost_Edge_mqtt_data_filtered__sklearn.json,/home/pi/ML_Edge_Device/Output/Light_XGBOOST/20250824_183712/Prediction_Data/StepPredictions_20250824_183712_Light_XGBOOST_mqtt_data_filtered__sklearn.csv
