model,quant_mode,level,n_points,mean_inference_time_ms,std_inference_time_ms,mean_mae_all_avg,std_mae_all_avg
cnn1d,quant-8,Simple,8,0.11536979057237969,0.0021671277247599595,0.9647717832421882,0.03931490589397687
cnn1d,quant-8,Medium,8,0.11509471324003716,0.00199196274079012,0.9624370829907285,0.048745318873196386
cnn1d,quant-8,High,8,0.11442630078858343,0.0027192424626678604,1.1495127248300738,0.10260312296943387
