,count,mean,std,min,max
Massenflussrate,3540.0,3.113562150844662,3.209780745543573,0.0,20.190000534058
Fließgeschwindigkeit,3540.0,2.463163844245556,2.5401890685639605,0.0,16.0
Volumenstrom,3540.0,2.409406778565739,2.483847689091393,0.0,15.630000114441
Temperatur,3540.0,25.16494351322368,1.4411640308296942,21.60000038147,28.60000038147
Druck,3540.0,5.584187854615978,0.0797283451245689,5.25,5.6900000572205
