cnn_blocks,cnn_base_filters,cnn_kernel_size,cnn_dropout,cnn_activation,batch_size,epochs,optimizer,learning_rate,clipnorm,weight_decay,mae,rmse,mse,r2
3,144,6,0.05986013278916896,relu,128,139,nadam,0.0013760680803121526,4.874066796738425,0.00041984627451043915,1.1660530429429592,1.694493268321404,2.8713074363865534,0.5244382368017254
2,212,7,0.4245092560551468,gelu,32,97,adamw,0.00020751234957730536,4.292309203149275,0.00013598065237687277,1.108641057614018,1.6996262230478854,2.88872929807202,0.5215457802384817
3,196,8,0.4049412517990432,relu,96,75,nadam,0.0008623633907539023,0.9161218730678335,2.75289291435927e-06,1.09908244504329,1.7006805616169136,2.892314372661621,0.5209558403579782
3,124,6,0.49064867381399085,gelu,128,105,adam,0.0013686103647571914,4.668685506171526,0.00011758027796783324,1.1537237833270515,1.7252110949349675,2.9763533220867093,0.5070409944293792
4,97,5,0.06416905291291296,relu,32,90,adamw,0.00035979171248895064,1.2214218460215331,6.676948214622084e-06,1.1681345561700516,1.7366325239010676,3.015892523070992,0.5004831747252714
3,122,5,0.34420240297351695,gelu,128,110,adamw,0.00023381369992522716,1.4864822427643651,1.411646008968043e-06,1.1577453651213037,1.742806792894319,3.0373755173585817,0.4969353712915242
2,186,6,0.10453881459896017,relu,64,88,nadam,0.0009300857750252353,1.4608013457526263,4.251827201763717e-06,1.1795566634690913,1.7429900471551045,3.0380143044817536,0.4968239587427623
3,192,5,0.4274405375847764,gelu,96,71,nadam,0.0020122438587736684,1.392129399260993,8.868274592052582e-05,1.2068561294317277,1.7457892986590284,3.047780275312382,0.49520812016879345
4,248,3,0.24025626305476722,relu,128,91,nadam,0.0003054363677767077,2.1573230852106677,0.00013351512913680044,1.150241168219002,1.7498381442063047,3.0619335309193643,0.4928617886267429
3,223,6,0.4986110048226968,relu,128,88,adam,0.00178400166979598,3.9667492072571995,0.0004436761652057134,1.1533548680319656,1.7542444773914134,3.0773736864582735,0.49030293719783963
4,174,5,0.19124697601506802,relu,96,96,nadam,0.002581484215971407,1.6921908502841057,1.6281855313921016e-05,1.1578819418900639,1.7599528379222886,3.0974339917107176,0.4869880550941822
4,141,9,0.13661368338698218,relu,64,75,nadam,0.0011188008285150756,2.466502242528432,1.9760936668503106e-05,1.1499458052335285,1.7636480003727892,3.1104542692189376,0.4848251448651575
4,256,4,0.3049438925846899,gelu,64,87,adamw,0.00019028039620632854,0.8424018162659406,1.8858338096421995e-05,1.1564735793465746,1.7682349304766858,3.12665476935789,0.4821410852131453
3,89,8,0.1459868538682753,gelu,128,60,nadam,0.0003820922349658124,2.6692533552011968,2.160361561055147e-06,1.1537194267147945,1.7712728141329412,3.137407382086429,0.48036336647630884
4,89,9,0.06677810309633718,relu,128,111,nadam,0.00013965733869639784,4.130692937988778,0.0005031053334885926,1.1996091848986619,1.7748547424315309,3.1501093567316953,0.4782653260916436
4,231,4,0.05156581906246032,relu,64,81,adam,0.001442793515437498,1.5830842779284966,1.7016199703736986e-06,1.1857509608775962,1.7765384969222662,3.1560890310468244,0.4772715211472035
4,180,5,0.19920055678026122,gelu,128,52,adamw,0.0003975841975414593,3.734339179531739,1.974495527409622e-06,1.1846424089375582,1.7771520678080603,3.1582694721144646,0.47690940934379267
4,125,8,0.27514482457852835,relu,64,121,rmsprop,0.00037244958856442697,4.107191270008556,7.76794655320361e-06,1.2051225515024477,1.7821693821035973,3.176127706507518,0.4739513521536901
4,72,7,0.42173114573678205,relu,32,102,rmsprop,0.0009054091978895033,1.2855893874011455,6.984270197461885e-06,1.1823323574273075,1.7848422891272435,3.1856619970569784,0.47236803993703014
4,160,6,0.36425170874040674,gelu,96,104,adam,0.0006104164234974557,2.015492945731129,1.8820588439472702e-05,1.1854402062519218,1.7865716110915222,3.1918381215581575,0.47134432242641233
