signal,lag,rmse_increase,rel_percent,r2_drop
Group4-2_S6_MassFlowRate,4,0.16463504822670472,9.154737724427985,0.10214413592904975
Group4-2_S6_MassFlowRate,3,0.18678204309406055,10.386249067721705,0.1166473791011548
Group4-2_S6_MassFlowRate,2,0.16739088373689603,9.30797940400478,0.10404385265484606
Group4-2_S6_MassFlowRate,1,0.1819685102733708,10.11858655614847,0.113805249741317
Group4-2_S6_VolumetricFlowRate,4,0.06016017753576586,3.3452818991286084,0.036317455944708144
Group4-2_S6_VolumetricFlowRate,3,0.06322716924781435,3.5158258083947276,0.0382354208820771
Group4-2_S6_VolumetricFlowRate,2,0.038020374613855656,2.1141704729545565,0.022834352565650695
Group4-2_S6_VolumetricFlowRate,1,0.06307624016707125,3.507433208130843,0.03808321671643733
