num_layers,initial_units,dropout,batch_size,epochs,learning_rate,loss,optimizer,clipnorm,mae,rmse,mse,r2
1,26,0.19238946732085796,16,56,0.0018532527549878148,mse,adam,1.1309187540652161,1.422496146384147,2.003254178716988,4.013027304547075,0.3371971759316645
1,40,0.06494444601011347,16,39,0.002262347902130057,huber,adam,0.5327479520874066,1.3979999214790153,2.016480612607734,4.066194061022863,0.3284094583232726
1,60,0.3357663451019566,48,41,0.0013891720006904342,huber,adam,2.9003616886283523,1.401787804108983,2.0251720679119978,4.101321904650958,0.32261292476808356
1,22,0.26803700377684364,16,52,0.0004381451171503808,huber,nadam,0.5999267130022377,1.4472140032070906,2.0260558373789563,4.104902256177344,0.3220318243000928
1,31,0.22312498658865,24,22,0.0018057889043328606,mse,adam,2.9434961825879737,1.4409857002446556,2.0425617669415814,4.172058571771515,0.3109333648332894
1,62,0.06431804585916406,48,25,0.004346812325399213,mse,rmsprop,1.8019412629390534,1.5271351562517848,2.0713689487102505,4.290569321681008,0.2914199559659877
1,60,0.20642512025738644,16,22,0.002849844103725193,mae,nadam,1.5282138474114222,1.3365264667878751,2.074464946766679,4.30340481536368,0.2892307166767521
1,18,0.08058315119708878,16,43,0.0034479508063723755,mae,rmsprop,2.467308656834288,1.4085772586815166,2.085435170848636,4.3490398518124795,0.2816988852003628
1,37,0.02960797913765449,64,35,0.0009062109181464942,mae,adam,0.5425349959982646,1.3738033794958493,2.0902876581913414,4.369302493987043,0.27833737951993864
1,62,0.05183273085772081,32,24,0.0006754564453705428,mse,adam,2.5143988170056164,1.4383410511361905,2.094145040936736,4.385443452479923,0.2757580183785361
1,32,0.22272457438935095,16,46,0.0004802172731699502,mae,nadam,1.9039269092637636,1.3674775810123188,2.108401716468127,4.445357798005743,0.26575138697429335
1,45,0.23283801287900388,32,50,0.00014286304422299171,mse,adam,2.298568400072623,1.5792317977570198,2.1452908643972206,4.602272892866173,0.23984362284018163
1,62,0.16343574190320193,24,58,0.0005969630673051616,mae,nadam,2.2291144041175355,1.4025129995763599,2.145326581339046,4.602426140599879,0.23987939939760222
1,32,0.30340082813757363,24,24,0.0005894969652764282,huber,adam,2.16498788642704,1.629684863068345,2.1559665386501914,4.648191715779287,0.23226472387361222
1,54,0.15235454295219986,24,36,0.00040983724610639094,huber,rmsprop,0.6140046084300694,1.6342312046662602,2.171038887782595,4.713409852264287,0.221512033401452
1,25,0.0999580474278933,48,26,0.0002460546413617769,huber,nadam,2.7676029777754234,1.6851727361609707,2.2011773698297312,4.845181813450534,0.19973158105098074
1,45,0.19295420690791826,24,52,0.00020761270679128422,mae,nadam,0.7596835602085024,1.5280900704068463,2.315844614758494,5.363136279705919,0.1141476402159246
1,18,0.2559618153202493,48,32,0.00013908940139511065,huber,rmsprop,0.7109197754966343,1.8338435493815357,2.322401291007013,5.3935477564710395,0.10919767903947455
1,31,0.20575283950634327,16,32,0.00012054865683614251,mae,nadam,1.2958255786990343,1.5662488276258277,2.3737939660163154,5.634897793095467,0.06930350851726336
1,52,0.009331149601990807,48,38,0.0008302377226660131,mae,rmsprop,1.6004424220274593,1.686165397710139,2.563932570186536,6.573750224463336,-0.08582338333937711
