num_layers,initial_units,dropout,batch_size,epochs,learning_rate,loss,optimizer,clipnorm,weight_decay,mae,rmse,mse,r2
3,64,0.1105743725240346,48,56,0.0028121364649983196,huber,nadam,3.2684290160962646,0.00014691204228131633,1.1253113798404952,1.6673653549058889,2.7801072267404408,0.5408990852412433
3,64,0.38126638460759027,32,109,0.0018626785941210989,huber,adam,1.400715258534873,0.0007485496068359638,1.1285809622852934,1.6677696829617636,2.7814557154063815,0.5406690202213467
3,103,0.24913966770879142,64,113,0.0014428418736991337,mse,nadam,2.88354636989305,0.0004798842079584481,1.1380354821681977,1.6810065995767807,2.825783187820691,0.5333340875669221
2,119,0.39711244443903626,48,108,0.0007958753438068695,huber,adam,4.149505518397344,4.7078257522832884e-05,1.1479233400856557,1.6845954285138185,2.837861757769656,0.5313534729043231
3,102,0.39275905842922615,32,68,0.001994345796930091,huber,rmsprop,4.617770761511064,0.00043128010541617896,1.1583796240495026,1.7087981424723946,2.9199910917171064,0.517778140358494
3,62,0.13123686405592627,96,62,0.0007584962596951186,mse,rmsprop,4.010472106606637,8.202477019591101e-05,1.182916713974947,1.7152498104605554,2.942081912284971,0.5141398887397017
3,114,0.33445885972398165,48,116,0.0024618637922102127,mse,rmsprop,1.4815673934945477,0.0008899478892578667,1.1594260150236437,1.7176633985664047,2.9503675507746916,0.5127419705623453
2,121,0.3613677861610752,48,68,0.0014786252218499333,huber,rmsprop,3.0730216805431256,0.00010985638820650417,1.2192495497082303,1.7182349009216549,2.952331174745249,0.5124561925426412
2,73,0.2607799857996223,96,70,0.0016696639630116958,huber,adam,3.4874198616443493,0.000551551894959342,1.193543098489787,1.7276691161486757,2.984840574893946,0.5070551722898891
3,119,0.11490350151164695,64,68,0.0018113845118027882,huber,rmsprop,1.9466182024042664,1.8033960533800476e-05,1.2251891844661515,1.7352649934907984,3.0111445976346207,0.5027514911608125
2,80,0.1463958586784212,128,106,0.0028692911645441395,huber,rmsprop,0.8610786574508885,6.42570276693691e-05,1.2443600701736215,1.7507597697091046,3.0651597712318774,0.49383835290094485
2,84,0.11936173419549832,128,118,0.0003025573170367739,huber,nadam,2.132769928469544,0.0001483175799407974,1.2021341845987643,1.7515728581943342,3.068007477563069,0.4933177116305607
3,94,0.397718747708652,64,65,0.0013451679026760762,mse,rmsprop,4.020457321731313,3.009911083157572e-05,1.2004075959937461,1.7682019542123686,3.126538150880439,0.4835995049482392
3,99,0.16809303292111882,128,100,0.0005183150805304893,huber,rmsprop,3.565028028548713,0.0004342649813003595,1.23253467897191,1.768799377736679,3.1286512386816634,0.4832532577833252
3,90,0.20728292652208935,32,81,0.0002479741360601584,huber,rmsprop,1.803899850960706,1.2179350802548272e-05,1.2338025678220004,1.7773398426634184,3.1589369163188246,0.4782479956175577
3,128,0.2919446587988976,32,66,0.0005201591721399572,huber,adamw,4.0091938482878815,1.5814564717995364e-06,1.229590944236752,1.7945740235896335,3.2204959261426866,0.4680838851264495
3,59,0.2808310179070023,48,67,0.0005840685906612566,mse,adam,1.752366828870037,0.0009609045854547492,1.297208604988054,1.8414647463995888,3.390992412232502,0.43993064364524237
3,115,0.07708952328885386,128,108,0.0002888766339973261,mse,adam,3.171221618660745,0.00011147196804897322,1.3385241045036969,1.8635804583693005,3.472932124815932,0.4264131544788327
2,107,0.26440825625049413,96,118,0.00012949644940797676,huber,adamw,3.3178342711253923,5.590535832596805e-05,1.3448575540937002,1.8695010817866664,3.4950342948015156,0.42276286343268976
3,61,0.28061333250134535,64,81,0.0004933222454195511,huber,nadam,1.2305618713012463,0.000710254051491385,1.332846449727708,1.894639676929114,3.5896595053940574,0.40709240627749504
