,0
Druck,0.7050806402125085
Temperatur,0.5265471077088879
Druck_rollmean_2,0.36188910976351085
Druck_rollstd_2,0.18180301797275877
Druck_lag_1,0.16655602495465338
Temperatur_rollmean_2,0.15955799327397102
Volumenstrom_lag_20,0.143883020532237
Druck_lag_20,0.12374545948225801
Temperatur_lag_20,0.11483911470391384
Temperatur_rollstd_2,0.09257818637200188
Volumenstrom_lag_1,0.09149314540465525
Volumenstrom_rollmean_2,0.09007159853022806
Druck_rollmean_5,0.08216110458784431
Temperatur_rollmean_5,0.08133943373923636
Temperatur_lag_2,0.06803527283540856
Temperatur_rollstd_5,0.06399539523342579
Druck_rollmean_10,0.05712011216120061
Temperatur_rollmean_10,0.053574709310349355
Druck_rollmean_50,0.05147994352050045
Volumenstrom_lag_2,0.04962586185054185
Temperatur_lag_50,0.0491776955377059
Druck_lag_5,0.04071901184775495
Volumenstrom_rollmean_5,0.04050827756607145
Temperatur_lag_1,0.038196005310045855
Druck_rollstd_20,0.035729690201077524
Temperatur_lag_5,0.035056159911638574
Volumenstrom_rollstd_10,0.032835329879700836
Druck_lag_2,0.032145600907822036
Volumenstrom_rollstd_50,0.029412508917997293
Volumenstrom_rollstd_2,0.029259752854312815
Volumenstrom_rollmean_10,0.028717273111615427
Volumenstrom_rollstd_20,0.02805013142579149
Volumenstrom_rollmean_20,0.027698943747060056
Druck_rollstd_5,0.026981588481629792
Temperatur_rollmean_50,0.02456420214501165
Druck_rollmean_20,0.02149481061444547
Temperatur_rollstd_10,0.01893004198088022
Druck_rollstd_50,0.017770672079665317
Volumenstrom_lag_5,0.01635657391689449
Temperatur_lag_10,0.015738291345870792
Druck_lag_50,0.012364135063591242
Druck_rollstd_10,0.01125020251525033
Druck_lag_10,0.0070240779905610395
Volumenstrom_lag_10,0.005794475709762104
Volumenstrom_rollmean_50,0.0057032077516927515
Temperatur_rollmean_20,0.0054299068866745515
Temperatur_rollstd_20,0.004367844889255679
Volumenstrom_lag_50,0.003845490660933315
Temperatur_rollstd_50,0.0012234375814399456
Volumenstrom_rollstd_5,0.0
