lag,Temperatur,Druck,Volumenstrom
0,1.0,1.0,1.0
1,-0.060478375908389094,-0.12192112117794052,-0.14862682600169122
2,-0.33030663768264407,-0.16741516994166172,-0.24440780825714123
3,-0.15124170816141191,-0.1455259577214694,-0.2631026731949236
4,0.4750326767318349,0.46183351200542333,0.4360799148870515
5,0.01822963277463042,0.023172311390859127,-0.029039281310584395
6,0.029798683072944407,0.03804944499890553,-0.0326116428422787
7,-0.027744873192802402,-0.09794494770978385,-0.08836813630674345
8,0.20653181407088875,0.18772699636731477,0.16639896285400835
9,0.02019487060325039,0.05017973823875212,-0.024586866770708347
10,0.11217993145422267,0.13915798459040243,0.17067244158624373
11,0.061683604677259835,0.037789696746188824,0.04265410182936287
12,0.2321526814207531,0.1530010099699352,0.1616830867615485
13,0.05025736675214382,0.07320524456506583,0.09107128363555651
14,-0.1303271704690212,-0.1882315932918034,-0.20037313877627416
15,0.05219590647232395,0.02360975380209087,0.0018855747747178004
16,0.13423892435282422,0.02279482139303186,0.04895604574302697
17,0.03713568953100631,0.04853102227292943,0.05189175587638045
18,-0.07279625503975119,-0.048657470689693325,-0.09228751565685978
19,-0.008284179980015039,-0.04486234631944809,-0.04457472665181626
20,0.3277578818980003,0.13852913822069993,0.20254370985569378
21,0.30222097725008834,0.16471887703375238,0.20575710378869033
22,0.14256179830545962,0.010798869500479846,0.04432299862439784
23,0.08070665008740605,-0.03560126287417481,0.008509872351451543
24,-0.07539246508992097,-0.08566197553504477,-0.10431254958714668
25,-0.02385313398790476,-0.06897762895449783,-0.0705297939980283
26,-0.0294914010948025,-0.04655148985588895,-0.020406198241952483
27,0.06061705135339074,0.01193041682902028,0.0076440468323216324
28,-0.053306432238873235,-0.062182636345760496,-0.08119345811231288
29,-0.001020542661592815,-0.0729842444599974,-0.05925272828513662
30,-0.024336543208531777,-0.04451289700905169,-0.11630897145191102
