lag,Temperatur,Druck,Volumenstrom
0,1.0,1.0,1.0
1,-0.06047837590838908,-0.12192112117794048,-0.1486268260016912
2,-0.3254408629573981,-0.15006182386611036,-0.2169189226411707
3,-0.08808834710815845,-0.09757447151131067,-0.16547621567485565
4,0.5441023048968006,0.4950903194891747,0.5171389379012153
5,-0.0034553050213501305,-0.06831232037869168,-0.09366549204059946
6,-0.225166624227021,-0.07978703591923944,-0.16204066542610354
7,-0.09888677432410574,-0.14112804937546033,-0.17025794926280402
8,0.4404359419566094,0.39722908572208493,0.4165924831318946
9,0.0227690294619522,-0.01355937820513879,-0.07034147812836589
10,-0.12500220146963495,0.023002710135317274,-0.006434566674960051
11,-0.06788000385930308,-0.11226995857044102,-0.13460649370898176
12,0.4161195890383201,0.33760806319534226,0.3503572243976873
13,0.0224935044482806,0.017766957883504887,-0.02925350272487402
14,-0.23223066703817719,-0.13178501537767026,-0.1689120480005315
15,-0.03708871830798235,-0.07180863126793115,-0.11480439616773047
16,0.42440112862567125,0.2816016164349039,0.3128375683289109
17,0.03274405818546595,0.027838233139045432,0.006805431536753368
18,-0.26249095277838186,-0.12363511972511576,-0.19251021453493222
19,-0.05698793810507763,-0.08733994609157843,-0.1334436488303891
20,0.5626970988295031,0.33180401742313986,0.42529894086487213
21,0.1847681075951699,0.14796434702524547,0.13912199705445716
22,-0.2550926088851049,-0.14187355125130147,-0.19848336437074163
23,-0.12663263524282056,-0.11763235553160295,-0.15725784368988346
24,0.34818914954536107,0.1728519701160491,0.21496923822541789
25,0.16140315362387578,0.11241262818497247,0.10693337758322073
26,-0.2078567027010365,-0.1349938425591325,-0.16987253263005608
27,-0.09518584270992364,-0.09767470577851906,-0.13852348722616778
28,0.2630106252288802,0.1051901929086996,0.13349747578897123
29,0.159644525927786,0.08313985893492631,0.0904867743074575
30,-0.1361721973658752,-0.07532760033207878,-0.12276496079810269
