,Temperatur,Druck
0,0.6478400768368986,-0.6962508436932536
1,-0.19485986687244328,0.09743596649152746
2,-0.2759135643231411,0.17944491324517145
3,0.03889835493366128,0.15003571504796273
4,0.34521894674180675,-0.40496644602399634
5,-0.1144143062273302,0.07703763056651816
6,-0.23690740686890657,0.13026532578058816
7,0.0036190760521791474,0.15556648272346743
8,0.239432662576107,-0.3596277663208239
9,-0.06600661959300415,0.060624127599811665
10,-0.16001505441324868,-0.016398422587990045
11,0.034327262375683426,0.12571541889804802
12,0.23028006276019658,-0.3370482902718965
13,-0.11506958619858071,0.0029607158472425036
14,-0.21717598777238242,0.16436884537643018
15,0.0498967847287332,0.11324716917939459
16,0.2188085979271727,-0.32131644926463687
17,-0.12074251338627111,-0.04250952930572018
18,-0.27907012236030476,0.1727725032543972
19,0.1002578036586189,0.141674435410917
20,0.3294894949746817,-0.47051881504945225
21,-0.03211546440456032,-0.2203490921513057
22,-0.24674020613071096,0.17257431937857856
23,-0.007789801218235622,0.15510141570035835
24,0.2247148050823945,-0.22386225534241413
25,-0.02621942299059584,-0.16142567054785187
26,-0.21883073509926398,0.16062773074523548
27,-0.012269304985341007,0.13567268309714392
28,0.14666020649407638,-0.1693509108759283
29,0.00021150306609078463,-0.1487070523754699
30,-0.15206737719206262,0.076312451253828
